CORE,,,,,,,,,,,,,
64,,,,,,,,,,,,,
,,,,,,,,,,,,,
INSTRUCTION,,,,,,,,,,,,,
指令,功能单元,节拍,输入1,输入2,输入3,输出,寄存器和功能单元读所需拍数,寄存器和功能单元写所需拍数,备注,,,,
VSUB,VMAC1/VMAC2/VMAC3,1,VR/IMM,VR,,VR,1,1,,,,,
VSUBU,VMAC1/VMAC2/VMAC3,1,VR/IMM,VR,,VR,1,1,,,,,
VSUBC,VIEU,1,VR,VR,,VR,1,1,,,,,
VSUB32,VMAC1/VMAC2/VMAC3,1,VR/IMM,VR,,VR,1,1,,,,,
VSUBU32,VMAC1/VMAC2/VMAC3,1,VR/IMM,VR,,VR,1,1,,,,,
VSUBC32,VMAC1/VMAC2/VMAC3,1,VR,VR,,VR,1,1,,,,,
VSAT,VIEU,1,VR,,,VR,1,1,,,,,
VSAT32,VIEU,1,VR,,,VR,1,1,,,,,
VNEG,VIEU,1,VR,,,VR,1,1,,,,,
VNEG32,VIEU,1,VR,,,VR,1,1,,,,,
VABS,VIEU,1,VR,,,VR,1,1,,,,,
VABS32,VIEU,1,VR,,,VR,1,1,,,,,
VMAX,VIEU,1,VR,VR,,VR,1,1,,,,,
VMAXU,VIEU,1,VR,VR,,VR,1,1,,,,,
VMAX32,VIEU,1,VR,VR,,VR,1,1,,,,,
VMAXU32,VIEU,1,VR,VR,,VR,1,1,,,,,
VMIN,VIEU,1,VR,VR,,VR,1,1,,,,,
VMINU,VIEU,1,VR,VR,,VR,1,1,,,,,
VMIN32,VIEU,1,VR,VR,,VR,1,1,,,,,
VMINU32,VIEU,1,VR,VR,,VR,1,1,,,,,
VEQ,VIEU,1,VR/IMM,VR,,VR,1,1,,,,,
VLT,VIEU,1,VR/IMM,VR,,VR,1,1,,,,,
VLTU,VIEU,1,VR/IMM,VR,,VR,1,1,,,,,
VEQ32,VIEU,1,VR/IMM,VR,,VR,1,1,,,,,
VLT32,VIEU,1,VR/IMM,VR,,VR,1,1,,,,,
VLTU32,VIEU,1,VR/IMM,VR,,VR,1,1,,,,,
VMVCGC,VIEU,-1,VR,,,CVR,1,3,,,,,
VMVCGC,VIEU,1,VR,,,/VST/VFCR/VECR/,1,1,,,,,
VMVCGC,VIEU,3,VR,,,/SVR/,1,3,,,,,
VMVCCG,VIEU,-1,CVR,,,VR,1,2,,,,,
VMVCCG,VIEU,1,/VST/VFCR/VECR/,,,VR,1,1,,,,,
VMVCCG,VIEU,2,/SVR/,,,VR,1,2,,,,,
VMOVI24,VIEU,1,IMM,,,VR,1,1,,,,,
VAND,VIEU,1,VR/IMM,VR,,VR,1,1,,,,,
VOR,VIEU,1,VR/IMM,VR,,VR,1,1,,,,,
VXOR,VIEU,1,VR/IMM,VR,,VR,1,1,,,,,
VNOT,VIEU,1,VR/IMM,,,VR,1,1,,,,,
VLZD,VIEU,1,VR,,,VR,1,1,,,,,
VLZD32,VIEU,1,VR,,,VR,1,1,,,,,
VSHFLL32,VIEU,1,VR/IMM,VR,,VR,1,1,,,,,
VSHFLL,VIEU,1,VR/IMM,VR,,VR,1,1,,,,,
VSHFLR32,VIEU,1,VR/IMM,VR,,VR,1,1,,,,,
VSHFLR,VIEU,1,VR/IMM,VR,,VR,1,1,,,,,
VSHFAR32,VIEU,1,VR/IMM,VR,,VR,1,1,,,,,
VSHFAR,VIEU,1,VR/IMM,VR,,VR,1,1,,,,,
VBCLR32,VIEU,1,VR,VR,,VR,1,1,,,,,
VBCLR,VIEU,1,VR,VR,,VR,1,1,,,,,
VBSET32,VIEU,1,VR,VR,,VR,1,1,,,,,
VBSET,VIEU,1,VR,VR,,VR,1,1,,,,,
VBEX32,VIEU,1,VR,VR,,VR,1,1,,,,,
VBEX,VIEU,1,VR,VR,,VR,1,1,,,,,
VBTST32,VIEU,1,VR,VR,,VR,1,1,,,,,
VBTST,VIEU,1,VR,VR,,VR,1,1,,,,,
VBEXT32,VIEU,1,VR,VR,,VR,1,1,,,,,
VBEXT,VIEU,1,VR,VR,,VR,1,1,,,,,
VBEXT32U,VIEU,1,VR,VR,,VR,1,1,,,,,
VBEXTU,VIEU,1,VR,VR,,VR,1,1,,,,,
VBALE2,VIEU,1,VR,VR,,VR,1,1,,,,,
VBALE2H,VIEU,1,VR,VR,,VR,1,1,,,,,
VBALE2LH,VIEU,1,VR,VR,,VR,1,1,,,,,
VBALE2HL,VIEU,1,VR,VR,,VR,1,1,,,,,
VBALE4H,VIEU,1,VR,VR,,VR,1,1,,,,,
VBALE4L,VIEU,1,VR,VR,,VR,1,1,,,,,
VSBALE2,VIEU,1,VR,VR,,VR,1,1,,,,,
VSBALE4,VIEU,1,VR,VR,,VR,1,1,,,,,
VUBALE4H,VIEU,1,VR,,,VR,1,1,,,,,
VUBALE4L,VIEU,1,VR,,,VR,1,1,,,,,
VITL2,VIEU,1,VR,,,VR,1,1,,,,,
VITL4,VIEU,1,VR,,,VR,1,1,,,,,
,,,,,,,,,,,,,
FUNC_UNIT,,,,,,,,,,,,,
SMAC1,0,,,,,,,,,,,,
SMAC2,1,,,,,,,,,,,,
SIEU,2,,,,,,,,,,,,
SLDST,3,,,,,,,,,,,,
SBR,4,,,,,,,,,,,,
VMAC1,5,,,,,,,,,,,,
VMAC2,6,,,,,,,,,,,,
