CORE,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
INSTRUCTION,,,,,,,,,,,,,,,,,,
指令,功能单元,节拍,输入1,输入2,输入3,输出,寄存器和功能单元读所需拍数,寄存器和功能单元写所需拍数,备注,,,,,,,,,
VMULBS16T,VMAC1/VMAC2/VMAC3,3,VR/IMM,VR,VR,VR,1,1,,,,,,,,,,
VDOTP2,VMAC1/VMAC2/VMAC3,4,VR,VR,,VR,1,1,,,,,,,,,,
VDOTPN2,VMAC1/VMAC2/VMAC3,4,VR,VR,,VR,1,1,,,,,,,,,,
VDOTPNRSU2,VMAC1/VMAC2/VMAC3,4,VR,VR,,VR,1,1,,,,,,,,,,
VDOTPNRUS2,VMAC1/VMAC2/VMAC3,4,VR,VR,,VR,1,1,,,,,,,,,,
VDOTPRSU2,VMAC1/VMAC2/VMAC3,4,VR,VR,,VR,1,1,,,,,,,,,,
VDOTPRUS2,VMAC1/VMAC2/VMAC3,4,VR,VR,,VR,1,1,,,,,,,,,,
VCMUL16T,VMAC1/VMAC2/VMAC3,4,VR,VR,,VR:2,1,2,,,,,,,,,,
VCMULR16T,VMAC1/VMAC2/VMAC3,4,VR,VR,,VR,1,1,,,,,,,,,,
VCMULRI16T,VMAC1/VMAC2/VMAC3,4,VR,VR,,VR,1,1,,,,,,,,,,
VFCMPEH,VMAC1/VMAC2/VMAC3,1,VR,VR,,VR,1,1,,,,,,,,,,
VFCMPES32,VMAC1/VMAC2/VMAC3,1,VR,VR,,VR,1,1,,,,,,,,,,
VFCMPGH,VMAC1/VMAC2/VMAC3,1,VR,VR,,VR,1,1,,,,,,,,,,
VFCMPGS32,VMAC1/VMAC2/VMAC3,1,VR,VR,,VR,1,1,,,,,,,,,,
VFCMPLH,VMAC1/VMAC2/VMAC3,1,VR,VR,,VR,1,1,,,,,,,,,,
VFCMPLS32,VMAC1/VMAC2/VMAC3,1,VR,VR,,VR,1,1,,,,,,,,,,
VFHINT,VMAC1/VMAC2/VMAC3,3,VR,,,VR,1,1,,,,,,,,,,
VFSINT32,VMAC1/VMAC2/VMAC3,3,VR,,,VR,1,1,,,,,,,,,,
VFHTRU,VMAC1/VMAC2/VMAC3,3,VR,,,VR,1,1,,,,,,,,,,
VFSTRU32,VMAC1/VMAC2/VMAC3,3,VR,,,VR,1,1,,,,,,,,,,
VFINTH,VMAC1/VMAC2/VMAC3,3,VR,,,VR,1,1,,,,,,,,,,
